date,open,close,high,low,volume
2025-08-25,1470.01,1490.33,1496.0,1466.0,6532455.0
2025-08-26,1490.32,1481.61,1494.23,1480.01,3960213.0
2025-08-27,1481.88,1448.0,1484.93,1448.0,5600609.0
2025-08-28,1447.97,1446.1,1456.1,1438.77,3928177.0
2025-08-29,1453.0,1480.0,1482.58,1452.0,6225648.0
2025-09-01,1482.2,1476.1,1488.0,1465.7,4512338.0
2025-09-02,1478.66,1491.3,1509.0,1478.0,5668837.0
2025-09-03,1491.0,1480.55,1503.5,1466.0,4504503.0
2025-09-04,1472.0,1472.66,1479.3,1460.47,4774676.0
2025-09-05,1471.0,1483.0,1486.97,1464.0,3738848.0
2025-09-08,1483.0,1501.23,1506.44,1477.5,5138298.0
2025-09-09,1505.0,1505.0,1509.95,1493.42,3574277.0
2025-09-10,1506.66,1522.01,1529.95,1496.0,4966331.0
2025-09-11,1522.01,1523.5,1526.02,1508.5,3723896.0
2025-09-12,1526.0,1516.0,1538.02,1510.53,3372209.0
2025-09-15,1515.87,1515.1,1517.48,1501.5,2582703.0
2025-09-16,1515.1,1499.98,1520.99,1496.21,3271789.0
2025-09-17,1499.99,1493.0,1510.28,1490.01,3033054.0
2025-09-18,1492.0,1467.96,1497.8,1463.5,4972125.0
2025-09-19,1467.99,1467.97,1475.5,1457.01,3263662.0
2025-09-22,1465.09,1453.35,1467.97,1450.01,3494708.0
2025-09-23,1450.5,1447.42,1457.5,1440.0,3866300.0
2025-09-24,1434.07,1442.0,1456.78,1434.07,3074350.0
2025-09-25,1442.83,1439.0,1445.21,1436.0,3386973.0
2025-09-26,1441.18,1435.0,1447.11,1428.01,4512071.0
2025-09-29,1439.38,1460.86,1469.99,1435.0,5368403.0
2025-09-30,1460.0,1443.99,1460.76,1440.0,3936362.0
2025-10-09,1436.0,1436.78,1439.38,1420.0,5491812.0
2025-10-10,1437.6,1430.0,1439.94,1427.5,3600144.0
2025-10-13,1415.7,1419.2,1422.85,1415.12,4606880.0
2025-10-14,1429.99,1451.02,1464.0,1429.99,6667233.0
2025-10-15,1450.98,1462.0,1463.0,1445.08,4278540.0
2025-10-16,1461.92,1484.91,1484.95,1458.88,4573015.0
2025-10-17,1483.1,1455.0,1488.0,1454.03,3808589.0
2025-10-20,1455.0,1457.93,1469.5,1454.88,2594988.0
2025-10-21,1459.0,1462.26,1469.94,1455.5,2544267.0
2025-10-22,1462.08,1458.7,1465.73,1456.0,1819492.0
2025-10-23,1455.0,1467.98,1468.8,1447.2,2932235.0
2025-10-24,1467.95,1450.0,1478.88,1449.34,3822583.0
2025-10-27,1440.0,1440.41,1452.49,1435.99,3710239.0
2025-10-28,1442.0,1445.0,1451.2,1441.1,2712433.0
2025-10-29,1440.02,1431.9,1446.55,1430.04,3393711.0
2025-10-30,1421.81,1426.74,1436.63,1421.81,4745610.0
2025-10-31,1422.0,1430.01,1435.98,1420.11,3569377.0
2025-11-03,1431.0,1435.0,1448.0,1420.1,3454766.0
2025-11-04,1435.1,1429.0,1435.78,1423.78,2656572.0
2025-11-05,1425.89,1420.08,1430.99,1420.01,3447527.0
2025-11-06,1430.0,1435.13,1441.45,1429.99,3834782.0
2025-11-07,1435.11,1433.33,1439.78,1431.11,1886139.0
2025-11-10,1435.0,1462.3,1463.69,1434.98,4945154.0
2025-11-11,1462.0,1458.99,1462.18,1447.0,2669156.0
2025-11-12,1459.98,1465.15,1478.36,1459.21,3299210.0
2025-11-13,1462.12,1470.38,1473.58,1458.0,3117923.0
