date,open,close,high,low,volume
2025-06-05,43.49,44.79,45.07,43.23,23379675.0
2025-06-06,44.99,45.18,46.04,44.33,29304862.0
2025-06-09,45.45,46.58,46.72,44.91,31532150.0
2025-06-10,47.09,44.9,47.14,44.27,31968374.0
2025-06-11,44.83,44.44,45.25,44.18,18036915.0
2025-06-12,44.13,44.98,46.46,44.0,28936839.0
2025-06-13,44.46,43.2,44.59,42.78,30505974.0
2025-06-16,43.39,43.86,44.69,43.1,22214145.0
2025-06-17,43.85,42.92,43.99,42.7,17073253.0
2025-06-18,42.73,44.15,44.88,42.53,28592792.0
2025-06-19,44.49,43.39,45.0,43.22,19028429.0
2025-06-20,43.71,43.97,44.5,42.91,26027532.0
2025-06-23,43.2,43.42,43.64,42.7,20072168.0
2025-06-24,43.6,46.0,46.26,43.59,39797527.0
2025-06-25,46.89,48.08,48.98,46.89,50034359.0
2025-06-26,47.85,47.95,49.17,47.41,34594451.0
2025-06-27,47.75,48.35,48.83,46.94,28887268.0
2025-06-30,48.97,49.53,50.0,48.77,31483341.0
2025-07-01,49.17,47.63,49.4,47.45,27219353.0
2025-07-02,47.3,46.32,47.33,45.9,18787353.0
2025-07-03,46.5,47.31,47.79,46.3,17901724.0
2025-07-04,48.65,49.04,51.75,48.52,46953453.0
2025-07-07,49.0,48.39,49.9,48.3,19794088.0
2025-07-08,48.3,48.69,48.97,47.58,21075447.0
2025-07-09,48.47,47.59,49.57,47.2,28089847.0
2025-07-10,47.2,46.68,47.5,46.0,19999752.0
2025-07-11,46.58,47.03,47.43,46.16,16884026.0
2025-07-14,47.92,48.38,49.0,47.77,26646061.0
2025-07-15,48.2,52.97,53.24,48.1,66533063.0
2025-07-16,54.55,52.83,54.88,52.5,54656537.0
2025-07-17,52.11,52.55,53.55,52.01,28908041.0
2025-07-18,52.45,52.71,53.98,52.4,30625391.0
2025-07-21,51.81,50.99,52.3,50.73,27848915.0
2025-07-22,50.71,49.65,51.48,49.49,27077046.0
2025-07-23,49.44,50.98,50.98,49.42,23944139.0
2025-07-24,51.0,50.67,51.5,50.3,21817244.0
2025-07-25,50.75,51.51,51.51,50.25,19627456.0
2025-07-28,51.87,50.57,51.89,49.91,16339405.0
2025-07-29,50.22,51.15,51.88,49.21,27194217.0
2025-07-30,50.58,49.03,50.59,49.0,21874502.0
2025-07-31,48.96,49.79,51.49,48.89,31416276.0
2025-08-01,50.0,48.18,50.2,47.5,27652291.0
2025-08-04,47.58,48.86,49.11,47.01,22498531.0
